title,true,pred_label
U.S. plans to curb tax 'inversions' could hit foreign companies,1,1
Brazil Speaker Maia says working to pass pension reform this year,1,1
WHAT THESE YOUNG ILLEGAL ‘DREAMERS’ Do To Trump Supporters Will Make Your Blood Boil [Video],0,0
 Kentucky Woman Brutally Beaten By Man For Looking Too ‘Masculine’ While Onlookers Do NOTHING,0,0
BREAKING NEWS: NFL Reporter Says Colin Kaepernick Will STAND For National Anthem If NFL Team Will Give Him A Job,0,0
Justice Department seeks more time on Trump wiretap evidence,1,1
Trump to study tougher Russia sanctions bill: White House,1,1
 White Trump Supporter Violently Attacks Muslim And Hispanic Students In Kansas,0,0
Senate blocks Democratic plan to expand gun background checks,1,1
DWAYNE ‘THE ROCK’ JOHNSON’S Awesome Message To Americans After The Election: “Lead by example…We got this!”,0,0
Bye Bye Cowboys! Crowd Boos As Owner Jerry Jones Kneels With Team Before Anthem #BoycottNFL [Video],0,0
 ACLU Issues Shocking Warning: It’s Not Safe To Travel In Texas,0,0
U.S. opposes changing NJ Senator Menendez's corruption trial schedule,1,1
"WOW! ALEX JONES Releases Secretly Recorded Interview With Megyn Kelly: “I’ve never done this in 22 years, I’ve never recorded another journalist, but I knew it was a fraud, that it was lie” [VIDEO]",0,0
 WATCH: Donald Trump Literally Offers To ‘Destroy’ A State Senator’s Career,0,0
Drone kills seven suspected al Qaeda members in Yemen: sources,1,1
PHILIPPINES: 2016 Washington’s Fury as Philippine’s Elections Threaten US Anti-China Policy,0,0
"HILLARY SHARES PRO-ILLEGAL MANIFESTO: Plans To Open Borders, Create Taxpayer Funded Agency To Give ILLEGALS Amnesty",0,0
 Donald Trump Has A Much Bigger Problem With Speaking Fees Than Clinton Ever Did,0,0
Top NSA official says telephone surveillance should have been disclosed,1,1
STATE DEPARTMENT OFFICIALS OUT! Connected To Benghazi Scandal And Clinton E-mail Scandal [Video],0,0
U.S. to set up zones for refugees in fight against Islamic State: Tillerson,1,1
Israeli minister expresses concern over U.S.-Saudi arms deal,1,1
Trudeau looks forward to welcoming Trump to Canada,1,1
TREY GOWDY Embarrasses Gun-Grabbing Obama Official In Brilliant “Gotcha” Moment [VIDEO],0,0
Zimbabwean pastor found not guilty of subversion,1,1
Guatemala political crisis may affect growth: central bank,1,1
 Cory Booker SHUTS DOWN Every Republican Fighting To Defund Planned Parenthood In Just 2 Minutes (VIDEO),0,0
Russia reopens ferry route to North Korea,1,1
OKLAHOMA Supreme Court Rules Punishing Smokers With Cigarette Tax “Unconstitutional”…Lawmakers Forced To Fill SHOCKING Hole In State Budget,0,0
 Bigot Christians Make A HILARIOUSLY AWFUL Anti-Trans Music Video To Boycott Target (VIDEO),0,0
U.S. lawmakers introduce bill to limit phone searches at the border,1,1
"Trump fires back at Obama, says Clinton 'unfit' for government",1,1
" Trump’s White House Decides War Crimes Don’t Matter, Shuts Accountability Office Down",0,0
Trump picks Giuliani to assemble cyber security meetings with executives,1,1
"BREAKING NEWS: NYPD Cracking Down On Anti-Trump Terror Groups…WATCH Police ARREST Antifa Terrorists For Wearing Masks, Burning Flags [VIDEO]",0,0
"Opposed from the start, the rocky history of NAFTA",1,1
FORMER ATTORNEY GENERAL: Why Obama is Guilty of REAL Hillary Obstruction [Video],0,0
Obama urges scrutiny of Trump's record: 'This is not entertainment',1,1
Dyer: ‘LA Times ‘Fake News’ Article is an Attack on Independent Media’,0,0
Official candidate seen ahead in Buenos Aires Senate race: poll,1,1
Egypt says suspended U.S. military exercises to resume,1,1
"HEY CHUCK, WE WON! CRYBABY SCHUMER Leads Chant “Dump Trump!” During NYC Protest",0,0
 BOMBSHELL: Trump Lied – His ‘Armada’ Was NOT Headed Toward North Korea At All,0,0
U.S. top court weighs race challenges to legislative districts,1,1
"24 militants, six soldiers killed in attacks in Egypt's Sinai, military says",1,1
UK's May to visit China around Jan. 31: Sky News,1,1
COLLEGE STUDENT SUSPENDED For Saying He Thinks Black Women Are: “not hot”,0,0
 Fox News Says ‘Health Insurance Doesn’t Matter Cause We’re All Going To Die Anyway’,0,0
ART CONTEST WINNER Disqualified for Being a Trump Supporter…What Happened to the “Tolerant” and “Accepting” Left?,0,0
WATCH Life Accordion To Trump! [VIDEO],0,0
 What Donald Trump Did On The Golf Course Is P*ssing Off His White Male Base (VIDEO),0,0
Puerto Rico's PREPA says will make full debt payment on Friday,1,1
 Trump Just Offered To Testify Under Oath And It’s Gonna Be HILARIOUS (VIDEO),0,0
"CHILD PORN, JIHADI WEBSITES Found On Phone After “12 Year Old” Migrant Assaults Foster Parent",0,0
Trump's Jerusalem decision could help militants: UAE's Sheikh Mohammed,1,1
Trump rebuts criticism by Army father at Democratic convention,1,1
HOW A SIMPLE GLASS OF WATER Could Expose The Truth About Hillary’s Serious Health Issues And Cause Her To Lose The Election [VIDEO],0,0
Senate to release health bill at 0930 EDT Thursday: senators,1,1
CHECK OUT NEW BEN & JERRY’S FLAVOR: Touting America’s Favorite Socialist,0,0
BREAKING: FEDS ARREST AMMON BUNDY With Fellow Militiamen Occupying Wildlife Refuge,0,0
Four Moldovans killed in Ivory Coast plane crash: security minister,1,1
Senate's McConnell says tax bill should be revenue neutral,1,1
Obama allies to press Republicans on high court nomination,1,1
"Tillerson, Russia's Lavrov discuss Syria, Ukraine, Middle East",1,1
 Sarah Palin Celebrates After White Man Who Pulled Gun On Black Protesters Goes Unpunished (VIDEO),0,0
Florida Supreme Court strikes down new death penalty law,1,1
WOW! NEW REPORT: IRS Didn’t Tell 1 Million Taxpayers That Illegals Stole Their Social Security Numbers!,0,0
 Marco Rubio Calls Out Trump For His Refusal To Acknowledge The Heinous White Supremacist Violence,0,0
“Comedian” Kathy Griffin’s 7th And FINAL Venue Cancels…Who’s Laughing Now?,0,0
"WOW! BRITISH ACTRESS HAMMERS EU Leaders: “Every one of you who said refugees are welcome, You Are Responsible For Brussels…Europe is ‘Jihadi Central'”",0,0
 Crowd Erupts In Boos When Military Mom Asks Pence About Trump’s Khan Statements,0,0
 This Woman Was Body Shamed By Her Boss And Her Response Was PERFECT (IMAGES),0,0
U.S.-Russia relations at another low after Syria attacks,1,1
STUNNING GRAPHIC Of Obama’s Legacy That Every Democrat Should See,0,0
Christians worldwide prepare for holidays with an eye on security,1,1
OBAMA FINALLY BUILDS BORDER WALL…But There’s One Problem…It’s ONLY For The Obama’s,0,0
WATCH STEVE SCALISE Throw A Strike At The Nationals Baseball Game [Video],0,0
TRUMP’S STATEMENT On Muslim Immigration Is Spot On: “We have no choice!” [Video],0,0
Thailand's ousted PM Yingluck has fled abroad: sources,1,1
 BUSTED: The IRS Finally Just Yanked A Trump-Supporting Nazi Group’s Non-Profit Status,0,0
 Tiffany Trump And Her Mother Just Tried To Get An EXPENSIVE Service For Free Because They’re Rich,0,0
 This Bible Study Leader’s Crimes Against A 14-Year-Old Girl Will Make Your Skin Crawl (VIDEO),0,0
 Trump Supporter Uses Patton Oswalt’s Dead Wife To Attack Him And Gets Righteously FIRED From His Job,0,0
" Rick Snyder Drinks Flint Water To Prove It Is Safe, Rachel Maddow Gives Him Bad News (VIDEO)",0,0
 WATCH: Sean Spicer In December STRONGLY Opposed Exactly What He Did Today,0,0
“WHITE STUDENT UNION” Groups Spring Up World-Wide With A Message Obama And Friends Would Rather You Didn’t Hear,0,0
U.N. enacts sanctions against anyone hindering Mali peace,1,1
Justice Department affirms no evidence Obama wiretapped Trump,1,1
 Fox Host Claims Obama Used A ‘Raw Onion’ To Fake Cry Over Murdered School Children (VIDEO),0,0
BOOM! SEAN SPICER: “Trump Sold Hotels In Russia While Hillary Clinton Sold Uranium”,0,0
"WAR ON WORDS: Facebook Censorship Widens, Website to Curate ‘Favored’ News",0,0
Tillerson seeks to reassure worried Europe over Trump,1,1
 House Republicans Just Tried To Hand America’s Elections Over To The Koch Brothers,0,0
WHOA! FOX NEWS HOST JUST BLAMED TRUMP For Violence By Domestic Terrorists Against Him And His Supporters [VIDEO],0,0
Fighting in eastern Ukraine worst since February: OSCE,1,1
German SPD says outcome uncertain for impending government talks,1,1
No need to consider release of oil stocks after Harvey: IEA,1,1
Trump supports Republican tax overhaul bill: adviser,1,1
Republican Rubio clears way for Tillerson's approval as top U.S. diplomat,1,1
ENERGY CO PRESIDENT: “There are no political hacks in this new administration” [VIDEO],0,0
"BREAKING: PETER W. SMITH, GOP Operative Who Sought Hillary Clinton’s Missing Emails FOUND DEAD In Hotel Room",0,0
California governor signs 'sanctuary state' bill,1,1
Senate drops proposal to change taxes on startup stock options,1,1
Britain summons North Korean ambassador over missile test,1,1
Trump nominee to lead FDA questioned on ties to pharmacy industry,1,1
PELOSI CLAIMS Congressman Who Shows Up for Meetings in His Underwear is an ‘ICON’ [Video],0,0
DEPLORABLE! HILLARY’S Campaign Is In PANIC Mode…Their Latest “RACIST FROG” Story Proves It [VIDEO],0,0
"WOMAN HOSPITALIZED, UNABLE TO FEEL HER LEGS After FEMALE SOMALI IMMIGRANT Attacks Her For Walking “Unclean” Dogs",0,0
Putin gave clear response to U.S. hacking allegations: TASS cites Kremlin,1,1
Trump's deportation plan could slice 2 percent off U.S. GDP: study,1,1
TRUMP SPOKESPERSON Delivers A Knockout Punch To Arrogant CNN Host [Video],0,0
"TEAM CLINTON MEMBER BILL GATES Pushed For Unlimited Guest Worker Permits Last Week…This Week Slashes 18,000 Jobs",0,0
"OBAMA’S BACKDOOR GUN CONFISCATION: 260,000 VETERANS STRIPPED Of Second Amendment Rights",0,0
BIKERS FOR TRUMP Will Travel To Future Rallies To “Provide Outside Security” Against Paid Soros Thugs For Hillary And Bernie Sanders,0,0
WHY Did Hillary Use FAKE NAME “Diane Reynolds” For Chelsea In Newly Released Emails That PROVE She Lied About Benghazi? [VIDEO],0,0
EPIC FAIL! HILLARY CLINTON Takes A Swipe At Republican Frontrunner And Misses The Mark [Video],0,0
"WATCH: BEYONCE Performed This Sickening, Cop-Hating, Anti-White Song At Super Bowl",0,0
WHOA! CLINTON GRIFTERS BAGGED $100 Million From “Blood Minerals” Firm,0,0
House committee considering tax relief for hurricane victims,1,1
 Thanks Obama! The 99 Percent Are Doing Better Than In 17 Years,0,0
KARMA: Race-Obsessed Detroit Free Press Editorial Editor Who Led Effort To Destroy Kid Rock’s Career Is FIRED Over Allegations of Inappropriate Behavior With Female Colleagues,0,0
UNREAL! FORMER GITMO DETAINEES PROTEST AT U.S. EMBASSY FOR FREEBIES FROM THE U.S.,0,0
30 people killed in attack on cattle herders in northeast Nigeria: police official,1,1
U.S. judge deals blow to Texas 'sanctuary' city law,1,1
Trump says popular retirement program will be unscathed in tax plan,1,1
Russia's Putin congratulates Trump on election win,1,1
Congressman Jim Jordan stops CNN gatekeeper Chris Cuomo on Benghazi cover-up,0,0
Trump says he backs House speaker even if healthcare bill fails,1,1
"MUST WATCH Trump Ad Highlights Hillary’s War On Women: Bill, Monica And Other Perverts Make Guest Appearances",0,0
U.S. says allies oppose bill allowing 9/11 lawsuits against Saudi Arabia,1,1
 Tortured Snowflake Ivanka Trump Just Blocked A CONGRESSMAN On Twitter,0,0
Syrian town struggles to cope alone after key victory over Islamic State,1,1
Senate Intelligence committee leaders confirm Kushner testimony,1,1
UNFORGIVABLE! PENTAGON WITHHELD $78 MILLION From Wounded Veteran’s Pay,0,0
VIOLENT RADICAL COMMIE ANGELA DAVIS Has A Strategy To Beat Trump That Every American Should Hear…We All Need To Know The End Game!,0,0
"Exclusive: 10,000 UK finance jobs affected in Brexit's first wave - Reuters survey",1,1
 Trump In Scotland: Collapse Of The United Kingdom Will Be Great For My Golf Course Actually,0,0
SAY WHAT? #BlackLivesMatter TEXTBOOKS TO BE USED AS PART OF COMMON CORE CURRICULUM IN GRADES 6-12 [Video],0,0
G20 ministers give Mnuchin space to define Trump trade agenda,1,1
"In volatile Kenya, MP and former senator detained over hate speech allegations",1,1
BREAKING: Muslim Clock Boy Family…Give Us $15 Million…Or Else,0,0
"Kremlin says ready to mediate North Korea-U.S. talks, if both sides willing",1,1
WATCH: Jill Stein Believes North Korea Is Victim Of U.S…North Korea “Feels Cornered”,0,0
WATCH: VINTAGE JOHNNY CASH VIDEO Delivers A POWERFUL Message That Should Be Played In Every NFL Locker Room,0,0
 Racist NRA Host Uses Racial Slur To Vulgarly Celebrate The End Of Obama’s Presidency,0,0
Turkey orders arrest of former police investigator's parents: Hurriyet,1,1
 Former McCain Chief Of Staff Thinks U.S. Needs A Democratic Congress,0,0
"Trump says he has made decision on Iran deal, declines to say what it is",1,1
Germany's Schaeuble says soft Brexit best way to minimize damage,1,1
"Trump congratulates Merkel on election win, discusses Iran: White House",1,1
HOW OBAMA USED NWA (Niggaz Wit Attitudes) Famous For “F—k the Police” Rap To Promote His Dangerous Iran Deal On Twitter [VIDEO],0,0
 There’s A Bill In The House That Would Completely Shut Down The Russia Investigation,0,0
 Trump Tells ‘Morning Joe’ He ACTUALLY Plans To Start A Nuclear Arms Race (VIDEO),0,0
WHOA! 2006: HILLARY CLINTON CAUGHT Expressing Regret About Not Rigging Palestinian Elections,0,0
"DISGUSTING! UNEMPLOYED, RACE-OBSESSED Colin Kaepernick Will Be Added To Smithsonian Black History Museum, While Conservative Supreme Court Justice Clarence Thomas Is BLACKLISTED",0,0
"BOOM! WATCH TRUMP IN FLINT: “Now, the Cars are Made in Mexico and You Can’t Drink the Water in Flint”",0,0
Sports Bar Owner Bans NFL Games…Will Show Only ‘True American’ Sports: ‘I’d like to speak for rural America’ [Video],0,0
 WATCH: Bernie Sanders Invokes Holocaust To Denounce Donald Trump,0,0
"Factbox: Merkel's conservatives, SPD set out policy lines for German coalition",1,1
U.S. extends some Iran sanctions relief under nuclear deal,1,1
UK PM May says Donald Trump was wrong to retweet far-right videos,1,1
"Rocky politics, slow growth loom as Obama, Italy's Renzi meet",1,1
EU imposes oil embargo on North Korea in symbolic gesture,1,1
JUST IN: CLOSE FRIEND of Hillary Clinton Who Planned To “Step Away From Politics” Found DEAD In Apparent Suicide,0,0
NANCY PELOSI OFF HER MEDS AGAIN: The Republican Budget “Stirs” Up Violence [Video],0,0
Trump taps adviser Manafort to be campaign chairman: CNN,1,1
McCain’s Mad World and The Cancer of Conflict,0,0
"Exclusive: Cameroonian troops entered Nigeria without seeking authorization, sources in Nigeria say",1,1
Saudi crown prince meets Lebanon's Maronite Patriarch: al-Arabiya,1,1
