title	true
 Conservative Commentator Uses Nancy Reagan’s Death To Launch Racist Attack On Michelle Obama (TWEETS)	0
OBAMA REGIME’S SECRET ASIAN TRADE DEAL Would Let International Tribunal Overrule State and Fed Laws To Benefit Foreign Companies	0
Trump said 'we'll see' when asked whether U.S. would attack North Korea	1
[VIDEO] “UNBIASED” OREGON RANCHER AND WIFE, SHOCKED By Armed Checkpoints, Snipers: “You just don’t expect it in our lives…We’re Americans….I feel like I’m in Africa”	0
 Trump Throws Intelligence Community Under The Bus To Side With Putin Despite Strong Evidence Of Russian Meddling	0
How We’re Being Tricked: Fiddling With Temperature Data The Biggest Scam Ever	0
GAO opens door for Congress to review leveraged lending	1
Turkey's Erdogan blames U.S. envoy for diplomatic crisis	1
Trump administration backpedals on citizenship for 'Dreamers'	1
Russia holds rates amid geopolitical risks, sees cuts by year-end	1
Criticism of Ukraine's language law justified: rights body	1
Lebanese FM may not attend Arab League meeting, to decide Sunday: senior Lebanese official	1
Bill Clinton, Tim Kaine cancel Iowa event after police shooting	1
Austrian election tests conservative star stealing far right's thunder	1
“BLOOD ON THEIR HANDS” FOR VOTING RIGHTS: The Truth About Shocking Number Of Murders By Illegal Aliens In US Hidden By Media And Dems [VIDEO]	0
U.S. must stop judicial 'extortion' of corporate Europe, French lawmakers say	1
WOW! STARBUCKS CEO JUST ACCUSED Whites Of Committing Senseless Violence Against “people who are not white”…And He’s Getting DESTROYED On Social Media	0
OOPS! WATCH THE BRILLIANT TV AD Trump Made For Cruz	0
Afghan political crisis deepens as ousted governor refuses to go	1
LOU DOBBS and Steve Forbes Rip Obama for Criticizing Trump Overseas: ‘He doesn’t get that he doesn’t matter anymore’ [Video]	0
WATCH: THE MEANING BEHIND TRUMP’S Hand Gestures Is Revealed	0
 Elizabeth Warren Burns Trump For Attacking Hillary For Being A Woman	0
Trump's defense chief eyes debut trip to Japan, South Korea next week	1
U.S. Supreme Court justices fret over offensive trademarks	1
 Reince Priebus Backs Trump’s Claim That The Media Is ‘The Enemy’ (VIDEO)	0
In 2017, America’s liberal abortion agenda looks a lot like Nazi Eugenics	0
 WATCH: Trump’s Head Will Explode With Rage When He Hears What Lawrence O’Donnell Said About Him	0
Factbox: Major points of friction as NAFTA talks sour	1
WORDS OF WISDOM FROM ‘THE VIEW’: Whoopie Threatens To Leave U.S. If Trump Doesn’t Stop Picking On Immigrants, While Joy Behar Offers Some Incoherent Thoughts On WWII	0
BLACK TRUMP SUPPORTER Goes On Tirade Over CNN’s Support For Radical Islam At #MarchAgainstSharia [VIDEO]	0
CHECK OUT ELIZABETH WARREN’S Rip On New BFF Hillary Clinton In 2004 [Video]	0
 NBC Gets Brutal With Donald Trump, Releasing The Video He Never Wanted Us To See (VIDEO)	0
Reaction to death of U.S. Justice Scalia	1
 Fired Up Hillary Clinton Tells Dems How To Crush Trump	0
Hate speech seeps into U.S. mainstream amid bitter campaign	1
SECRET SERVICE PROTECTS OBAMA’S DAUGHTERS While These Illegal Alien Pedophiles Threaten Our Children	0
Wider Image: Mexico's indigenous Muslims in Maya heartland	1
 Fox Host Shatters Conservative Claim That Bathroom Bills Are Needed To Stop Predators (VIDEO)	0
 Trump Rages: My Tweets Attacking Mika Are ‘Modern Day Presidential’	0
Lights back on in Venezuela after five-hour blackout	1
WATCH: BLACK LIVES MATTER Bernie Sanders Supporters SPIT On U.S. Flag In Front Of Vets At Trump Rally	0
Why Donald J. Trump Is The Only One Who Can Defeat An Anti-American Party That’s Gone Unopposed For 50 Years 	0
 WATCH: Texas Judge Leaves Republican Party In EPIC Video Ripping Trump And GOP	0
OOPS! HILLARY’S HIT WOMAN LIED About Trump Groping Her…Eye-Witness Comes Forward: “It was she that was the one being flirtatious”	0
MEDIA IMMEDIATELY REPORTS Alleged Killer Of Imam, Assistant Was Catholic…Takes Days To ID Religion Of Muslims Who Commit Acts Of Terror In US [VIDEO]	0
